행정구역별(1),행정구역별(2),1월,1월,2월,2월,3월,3월,4월,4월,5월,5월,6월,6월,7월,7월,8월,8월,9월,9월,10월,10월,11월,11월,12월,12월
행정구역별(1),행정구역별(2),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡),호수,면적(천㎡)
대구광역시,남구,571,50,388,28,123,10,105,8,827,66,272,23,360,30,173,15,193,16,549,41,338,27,262,21
대구광역시,북구,1836,148,1063,79,764,56,547,38,1008,71,1920,130,1837,140,1235,92,850,65,1705,135,1833,136,1993,152
대구광역시,수성구,1218,104,982,74,759,62,349,29,549,43,1059,87,1580,133,907,78,1044,90,2311,198,1213,109,983,78
대구광역시,달서구,1452,118,2128,167,984,80,831,64,1574,121,1737,143,2776,221,1886,155,1572,126,2017,167,2188,177,2061,152
대구광역시,달성군,636,48,640,48,1224,79,367,25,493,36,633,47,2041,155,871,65,661,50,711,53,1242,95,2750,231
인천광역시,소계,18841,1511,13637,1025,15049,1189,6792,493,9258,670,12911,985,9456,653,9042,665,8656,636,5144,374,4471,322,7969,587
인천광역시,중구,1544,127,1189,85,693,52,307,24,285,23,1119,88,849,60,175,13,835,66,544,42,331,26,401,32
인천광역시,동구,398,28,191,13,233,15,142,9,152,9,194,12,586,37,163,10,236,15,144,9,123,8,158,10
인천광역시,미추홀구,1134,79,3165,206,1001,75,608,44,571,42,1634,110,1723,128,1395,95,1204,81,536,38,488,34,650,47
인천광역시,연수구,1337,114,2318,199,2705,234,1573,138,1274,105,3810,340,1208,98,1786,155,515,42,845,75,683,58,1475,125
인천광역시,남동구,925,72,1678,136,1946,152,965,69,873,61,1469,103,1081,69,861,58,750,52,670,46,589,40,845,60
인천광역시,부평구,1554,111,1615,111,1847,129,1160,79,1794,124,1804,124,1690,114,1550,105,553,36,1114,74,925,60,1673,110
인천광역시,계양구,539,36,581,38,689,43,486,31,606,39,895,55,754,46,409,26,364,23,546,32,552,34,756,46
인천광역시,서구,11396,942,2884,235,5924,486,1548,100,3682,265,1971,153,1548,99,2681,201,4192,319,733,56,765,61,1986,156
인천광역시,강화군,14,1,16,1,11,1,3,0,21,2,15,1,17,1,22,2,7,0,12,1,15,1,25,2
광주광역시,소계,3524,269,8878,702,3181,243,2330,171,3281,252,3783,453,4724,373,3486,436,2981,227,3225,249,8982,715,7240,559
광주광역시,동구,779,60,1498,116,224,17,140,11,293,26,419,31,651,52,287,20,232,17,301,24,411,31,309,25
광주광역시,서구,606,49,1832,150,723,56,600,45,438,34,619,48,734,57,492,38,528,42,620,48,934,75,1094,84
광주광역시,남구,372,29,957,80,367,30,288,22,265,20,435,33,595,47,634,53,622,50,538,43,1017,83,967,79
광주광역시,북구,886,65,3353,262,990,76,751,53,1703,129,1513,281,1889,152,931,238,803,59,920,69,4494,353,3432,263
광주광역시,광산구,881,66,1238,95,877,64,551,40,582,43,797,59,855,65,1142,88,796,59,846,65,2126,173,1438,108
대전광역시,소계,4165,316,4354,322,3483,254,2750,191,3085,224,8165,624,3693,262,2323,164,1895,137,2115,154,4190,328,3890,285
대전광역시,동구,622,43,954,69,583,41,412,29,452,33,844,58,526,33,265,18,250,17,268,18,279,18,514,35
대전광역시,중구,696,50,506,34,491,33,326,23,536,37,717,54,379,27,393,23,220,16,247,18,235,17,421,30
대전광역시,서구,1344,103,1217,89,1000,72,767,48,908,63,2076,157,1118,77,674,47,653,46,684,48,616,44,1100,80
대전광역시,유성구,1119,91,1174,94,892,70,754,57,717,58,3835,305,1324,101,691,56,534,42,591,49,2762,228,1447,111
대전광역시,대덕구,384,29,503,37,517,38,491,35,472,33,693,50,346,23,300,21,238,17,325,22,298,21,408,29
울산광역시,소계,2885,228,3281,252,1990,155,1233,94,1581,122,2661,211,5964,482,1957,149,2519,193,2273,179,6537,500,4892,365
울산광역시,중구,498,40,530,42,346,28,220,17,299,24,507,42,544,45,378,30,374,30,442,36,2462,189,672,51
울산광역시,남구,1149,92,1629,126,680,53,463,36,502,39,1157,91,1627,130,531,42,1210,94,816,64,2006,150,1543,111
울산광역시,동구,546,41,253,18,403,31,128,9,195,14,247,19,2804,229,430,28,198,13,181,13,441,34,1223,91
울산광역시,북구,371,30,545,43,312,25,239,18,331,26,436,35,542,44,305,25,447,35,472,38,1090,86,862,68
울산광역시,울주군,321,25,324,24,249,19,183,13,254,19,314,24,447,35,313,23,290,21,362,28,538,42,592,44
세종특별자치시,소계,2159,176,1824,147,1191,97,776,59,1527,103,1577,120,8988,658,2870,194,1328,83,715,47,644,40,1615,130
세종특별자치시,세종특별자치시,2159,176,1824,147,1191,97,776,59,1527,103,1577,120,8988,658,2870,194,1328,83,715,47,644,40,1615,130
경기도,소계,38053,2938,53407,4131,43226,3296,26861,2024,28200,2066,52000,3955,52315,3985,30564,2339,30616,2352,36782,2804,33524,2486,50371,3815
경기도,수원시,4102,311,10381,749,3658,258,2971,208,2315,153,3846,265,4636,340,4258,302,3317,241,2273,164,4665,358,5481,429
경기도,수원시 장안구,798,61,1397,101,528,38,354,24,323,21,1124,78,1663,128,394,25,1166,79,305,21,272,20,561,40
경기도,수원시 권선구,1125,90,5012,375,579,43,302,22,998,71,769,56,1041,77,844,64,702,56,750,57,706,53,1229,90
경기도,수원시 팔달구,505,36,2209,149,1992,138,2088,147,654,37,344,21,544,32,2489,171,317,20,473,29,1407,90,542,38
경기도,수원시 영통구,1674,125,1763,124,559,39,227,15,340,23,1609,110,1388,105,531,41,1132,86,745,56,2280,195,3149,261
경기도,성남시,1689,134,1366,100,1330,98,639,43,726,52,1606,127,2994,236,1185,90,1049,88,3165,224,1302,93,2185,166
경기도,성남시 수정구,196,14,215,15,283,18,167,10,146,9,248,17,480,28,209,13,153,11,2152,139,280,15,187,15
경기도,성남시 중원구,259,19,281,19,228,16,103,6,93,6,216,14,423,28,172,11,156,11,150,9,175,11,375,25
경기도,성남시 분당구,1234,101,870,67,819,64,369,27,487,38,1142,96,2091,180,804,66,740,67,863,75,847,68,1623,125
경기도,의정부시,857,59,1082,77,1459,106,856,59,1058,72,2827,198,1619,107,935,65,1559,100,942,61,1600,106,1641,109
경기도,안양시,1594,112,2965,202,1380,95,622,42,683,48,1827,122,1600,110,981,67,785,54,907,57,948,61,1820,123
경기도,안양시 만안구,579,41,1215,79,356,24,197,13,241,17,487,34,441,31,317,21,246,17,233,16,265,18,778,52
경기도,안양시 동안구,1015,72,1750,123,1024,71,425,29,442,30,1340,88,1159,79,664,46,539,37,674,40,683,43,1042,71
경기도,부천시,1465,105,1986,140,2772,202,1507,109,1217,84,1877,132,1643,111,862,63,723,52,816,56,971,68,1342,94
경기도,광명시,876,59,1027,78,960,70,467,35,363,25,1188,75,2858,191,1316,90,538,38,264,17,323,18,458,30
경기도,평택시,1887,144,2746,216,2264,169,2173,172,2466,191,3046,235,1294,98,1342,100,2363,186,3276,247,2858,206,2537,179
경기도,동두천시,95,7,162,12,152,11,127,9,145,11,270,19,249,18,197,14,159,11,191,14,217,15,566,35
경기도,안산시,2364,165,3135,227,3579,267,1935,143,2148,146,3378,228,1961,131,577,40,733,54,660,46,585,44,1004,75
경기도,안산시 상록구,1026,77,1245,93,2104,164,1130,89,940,72,959,71,533,37,305,21,293,22,324,23,289,23,434,34
경기도,안산시 단원구,1338,88,1890,134,1475,102,805,54,1208,73,2419,157,1428,93,272,19,440,32,336,24,296,21,570,41
경기도,고양시,2986,251,2314,189,2223,186,1872,131,1599,135,5173,437,5081,401,1633,135,1393,110,1558,125,2861,224,3987,305
